0 0 0 -nan inf inf -nan -nan 0 0
0.88 0.466964 0.0999127 10.0607 8.27474 5.3834 5.87735e-06 -3.51875e-06 0.129272 1.25851
0.89 0.47241 0.100668 9.95375 8.16941 5.29204 5.97338e-06 -3.57618e-06 0.130703 1.26325
0.9 0.477859 0.101421 9.84911 8.06648 5.20285 6.06966e-06 -3.63377e-06 0.132133 1.26797
0.91 0.483311 0.102171 9.74673 7.96586 5.11575 6.1662e-06 -3.6915e-06 0.133562 1.27265
0.92 0.488765 0.102918 9.64654 7.86747 5.03069 6.26298e-06 -3.74938e-06 0.134991 1.27729
0.93 0.494222 0.103662 9.54848 7.77124 4.94758 6.36e-06 -3.8074e-06 0.136419 1.2819
0.94 0.499681 0.104404 9.45247 7.67711 4.86638 6.45725e-06 -3.86556e-06 0.137847 1.28648
0.95 0.505142 0.105143 9.35845 7.58501 4.787 6.55473e-06 -3.92385e-06 0.139274 1.29103
0.96 0.510607 0.10588 9.26636 7.49487 4.70941 6.65243e-06 -3.98228e-06 0.1407 1.29554
0.97 0.516073 0.106614 9.17614 7.40663 4.63353 6.75035e-06 -4.04083e-06 0.142125 1.30002
0.98 0.521542 0.107345 9.08773 7.32024 4.55932 6.84848e-06 -4.09951e-06 0.14355 1.30448
0.99 0.527014 0.108074 9.00108 7.23563 4.48672 6.94682e-06 -4.15831e-06 0.144974 1.3089
1 0.532488 0.108801 8.91614 7.15275 4.41568 7.04537e-06 -4.21724e-06 0.146398 1.31329
1.01 0.537965 0.109525 8.83285 7.07156 4.34616 7.14411e-06 -4.27628e-06 0.147821 1.31765
1.02 0.543444 0.110247 8.75117 6.99199 4.27811 7.24305e-06 -4.33544e-06 0.149243 1.32199
1.03 0.548925 0.110966 8.67104 6.91401 4.21148 7.34219e-06 -4.39471e-06 0.150665 1.32629
1.04 0.554409 0.111683 8.59244 6.83756 4.14623 7.44151e-06 -4.45409e-06 0.152086 1.33057
1.05 0.559895 0.112398 8.5153 6.76261 4.08233 7.54101e-06 -4.51359e-06 0.153506 1.33482
1.06 0.565384 0.11311 8.4396 6.6891 4.01973 7.64069e-06 -4.57318e-06 0.154926 1.33905
1.07 0.570875 0.113821 8.36529 6.61701 3.9584 7.74056e-06 -4.63289e-06 0.156345 1.34325
1.08 0.576369 0.114529 8.29233 6.54628 3.89829 7.84059e-06 -4.69269e-06 0.157764 1.34742
1.09 0.581864 0.115235 8.22069 6.47688 3.83938 7.9408e-06 -4.7526e-06 0.159182 1.35156
1.1 0.587363 0.115938 8.15033 6.40878 3.78163 8.04117e-06 -4.81261e-06 0.160599 1.35568
1.11 0.592863 0.11664 8.08122 6.34193 3.725 8.14171e-06 -4.87271e-06 0.162016 1.35978
1.12 0.598366 0.117339 8.01331 6.27631 3.66948 8.24241e-06 -4.93291e-06 0.163432 1.36385
1.13 0.603872 0.118037 7.94659 6.21189 3.61502 8.34327e-06 -4.9932e-06 0.164847 1.3679
1.14 0.609379 0.118732 7.88102 6.14862 3.56159 8.44428e-06 -5.05358e-06 0.166262 1.37192
1.15 0.61489 0.119426 7.81657 6.08648 3.50918 8.54545e-06 -5.11406e-06 0.167676 1.37592
1.16 0.620402 0.120117 7.75321 6.02544 3.45775 8.64677e-06 -5.17462e-06 0.16909 1.3799
1.17 0.625917 0.120806 7.69091 5.96547 3.40727 8.74824e-06 -5.23527e-06 0.170503 1.38385
1.18 0.631434 0.121494 7.62965 5.90655 3.35773 8.84985e-06 -5.29601e-06 0.171916 1.38778
1.19 0.636953 0.122179 7.56941 5.84864 3.30909 8.95161e-06 -5.35684e-06 0.173328 1.39169
1.2 0.642475 0.122863 7.51014 5.79173 3.26134 9.05352e-06 -5.41775e-06 0.174739 1.39558
1.21 0.647999 0.123544 7.45184 5.73578 3.21444 9.15556e-06 -5.47874e-06 0.17615 1.39945
1.22 0.653525 0.124224 7.39448 5.68077 3.16839 9.25774e-06 -5.53981e-06 0.17756 1.40329
1.23 0.659053 0.124902 7.33803 5.62669 3.12315 9.36006e-06 -5.60096e-06 0.178969 1.40711
1.24 0.664584 0.125578 7.28248 5.5735 3.07871 9.46252e-06 -5.6622e-06 0.180378 1.41092
1.25 0.670117 0.126252 7.22779 5.52118 3.03505 9.56511e-06 -5.72351e-06 0.181787 1.4147
1.26 0.675652 0.126925 7.17396 5.46972 2.99215 9.66783e-06 -5.7849e-06 0.183195 1.41846
1.27 0.68119 0.127595 7.12096 5.41909 2.94998 9.77068e-06 -5.84637e-06 0.184602 1.4222
1.28 0.68673 0.128264 7.06878 5.36928 2.90854 9.87366e-06 -5.90792e-06 0.186009 1.42593
1.29 0.692272 0.128931 7.01738 5.32026 2.8678 9.97677e-06 -5.96954e-06 0.187415 1.42963
1.3 0.697816 0.129597 6.96676 5.27202 2.82775 1.008e-05 -6.03123e-06 0.18882 1.43332
1.31 0.703362 0.130261 6.9169 5.22453 2.78836 1.01834e-05 -6.093e-06 0.190225 1.43698
1.32 0.708911 0.130923 6.86778 5.17779 2.74964 1.02869e-05 -6.15485e-06 0.19163 1.44063
1.33 0.714462 0.131583 6.81939 5.13177 2.71155 1.03905e-05 -6.21677e-06 0.193033 1.44426
1.34 0.720015 0.132242 6.7717 5.08645 2.67409 1.04942e-05 -6.27876e-06 0.194437 1.44787
1.35 0.72557 0.132899 6.7247 5.04183 2.63724 1.05981e-05 -6.34082e-06 0.19584 1.45146
1.36 0.731128 0.133554 6.67838 4.99789 2.60098 1.07021e-05 -6.40296e-06 0.197242 1.45504
1.37 0.736687 0.134208 6.63272 4.9546 2.56531 1.08062e-05 -6.46516e-06 0.198643 1.45859
1.38 0.742249 0.134861 6.58772 4.91196 2.53021 1.09104e-05 -6.52744e-06 0.200045 1.46213
1.39 0.747813 0.135511 6.54334 4.86995 2.49566 1.10148e-05 -6.58979e-06 0.201445 1.46566
1.4 0.753379 0.13616 6.49959 4.82857 2.46166 1.11192e-05 -6.65222e-06 0.202845 1.46916
1.41 0.758948 0.136808 6.45644 4.78778 2.42819 1.12238e-05 -6.71471e-06 0.204245 1.47265
1.42 0.764518 0.137454 6.41389 4.74759 2.39525 1.13285e-05 -6.77727e-06 0.205644 1.47613
1.43 0.770091 0.138099 6.37192 4.70798 2.36281 1.14333e-05 -6.8399e-06 0.207042 1.47958
1.44 0.775666 0.138742 6.33052 4.66894 2.33087 1.15383e-05 -6.90261e-06 0.20844 1.48302
1.45 0.781243 0.139383 6.28968 4.63045 2.29941 1.16434e-05 -6.96538e-06 0.209837 1.48645
1.46 0.786822 0.140023 6.24939 4.59251 2.26844 1.17486e-05 -7.02822e-06 0.211234 1.48986
1.47 0.792403 0.140662 6.20964 4.55509 2.23793 1.18539e-05 -7.09114e-06 0.21263 1.49325
1.48 0.797986 0.141299 6.17041 4.5182 2.20788 1.19593e-05 -7.15412e-06 0.214026 1.49663
1.49 0.803572 0.141935 6.13169 4.48183 2.17827 1.20648e-05 -7.21718e-06 0.215421 1.49999
1.5 0.809159 0.142569 6.09348 4.44595 2.14911 1.21705e-05 -7.28031e-06 0.216816 1.50334
1.51 0.814749 0.143202 6.05577 4.41056 2.12037 1.22763e-05 -7.3435e-06 0.21821 1.50668
1.52 0.820341 0.143834 6.01854 4.37566 2.09205 1.23822e-05 -7.40677e-06 0.219604 1.50999
1.53 0.825934 0.144464 5.98178 4.34122 2.06414 1.24882e-05 -7.47011e-06 0.220997 1.5133
1.54 0.83153 0.145093 5.9455 4.30725 2.03664 1.25944e-05 -7.53352e-06 0.222389 1.51659
1.55 0.837128 0.14572 5.90967 4.27373 2.00953 1.27006e-05 -7.59701e-06 0.223781 1.51986
1.56 0.842728 0.146346 5.87429 4.24065 1.98281 1.2807e-05 -7.66056e-06 0.225173 1.52313
1.57 0.848331 0.146971 5.83935 4.20801 1.95647 1.29135e-05 -7.72419e-06 0.226564 1.52637
1.58 0.853935 0.147594 5.80484 4.1758 1.9305 1.30202e-05 -7.78789e-06 0.227954 1.52961
1.59 0.859541 0.148217 5.77076 4.144 1.9049 1.31269e-05 -7.85166e-06 0.229344 1.53283
1.6 0.865149 0.148837 5.73709 4.11262 1.87965 1.32338e-05 -7.91551e-06 0.230734 1.53603
1.61 0.87076 0.149457 5.70383 4.08164 1.85476 1.33409e-05 -7.97943e-06 0.232123 1.53923
1.62 0.876372 0.150075 5.67097 4.05105 1.8302 1.3448e-05 -8.04343e-06 0.233511 1.54241
1.63 0.881987 0.150692 5.63851 4.02086 1.80599 1.35553e-05 -8.1075e-06 0.234899 1.54557
1.64 0.887603 0.151308 5.60643 3.99104 1.7821 1.36627e-05 -8.17165e-06 0.236287 1.54873
1.65 0.893222 0.151922 5.57473 3.9616 1.75854 1.37702e-05 -8.23588e-06 0.237674 1.55187
1.66 0.898842 0.152535 5.5434 3.93253 1.7353 1.38779e-05 -8.30018e-06 0.23906 1.555
1.67 0.904465 0.153147 5.51244 3.90381 1.71237 1.39856e-05 -8.36456e-06 0.240446 1.55812
1.68 0.91009 0.153758 5.48184 3.87545 1.68974 1.40936e-05 -8.42902e-06 0.241832 1.56122
1.69 0.915716 0.154368 5.4516 3.84744 1.66742 1.42016e-05 -8.49356e-06 0.243217 1.56431
1.7 0.921345 0.154976 5.4217 3.81977 1.64539 1.43098e-05 -8.55817e-06 0.244601 1.56739
1.71 0.926975 0.155583 5.39214 3.79243 1.62365 1.44181e-05 -8.62287e-06 0.245985 1.57046
1.72 0.932608 0.156189 5.36292 3.76543 1.60219 1.45266e-05 -8.68765e-06 0.247369 1.57351
1.73 0.938243 0.156794 5.33402 3.73874 1.58102 1.46352e-05 -8.75251e-06 0.248752 1.57656
1.74 0.943879 0.157398 5.30546 3.71238 1.56012 1.4744e-05 -8.81745e-06 0.250134 1.57959
1.75 0.949518 0.158 5.2772 3.68632 1.53948 1.48528e-05 -8.88248e-06 0.251516 1.58261
1.76 0.955158 0.158601 5.24927 3.66058 1.51912 1.49619e-05 -8.94759e-06 0.252898 1.58562
1.77 0.960801 0.159202 5.22164 3.63513 1.49901 1.5071e-05 -9.01279e-06 0.254279 1.58861
1.78 0.966446 0.159801 5.19431 3.60999 1.47915 1.51804e-05 -9.07808e-06 0.255659 1.5916
1.79 0.972092 0.160399 5.16728 3.58513 1.45955 1.52898e-05 -9.14345e-06 0.25704 1.59458
1.8 0.97774 0.160995 5.14054 3.56056 1.4402 1.53994e-05 -9.20891e-06 0.258419 1.59754
1.81 0.983391 0.161591 5.11409 3.53627 1.42108 1.55092e-05 -9.27445e-06 0.259798 1.60049
1.82 0.989043 0.162186 5.08793 3.51226 1.4022 1.56191e-05 -9.34009e-06 0.261177 1.60343
1.83 0.994698 0.162779 5.06204 3.48852 1.38356 1.57292e-05 -9.40582e-06 0.262555 1.60637
1.84 1.00035 0.163372 5.03642 3.46505 1.36515 1.58394e-05 -9.47164e-06 0.263933 1.60929
1.85 1.00601 0.163963 5.01108 3.44184 1.34696 1.59498e-05 -9.53756e-06 0.26531 1.6122
1.86 1.01167 0.164554 4.986 3.41889 1.32899 1.60604e-05 -9.60357e-06 0.266687 1.6151
1.87 1.01733 0.165143 4.96118 3.3962 1.31125 1.61711e-05 -9.66967e-06 0.268063 1.61799
